week,tool,avg_sentiment
2024-07-08,Gemini,0.3011555075645447
2024-09-23,Gemini,0.0
2024-11-11,Copilot,0.0
2024-11-11,Gemini,0.9663915038108826
2024-11-18,Copilot,0.8076328635215759
2024-12-02,Gemini,-0.5112051963806152
2024-12-09,Gemini,0.0
2024-12-23,Gemini,-0.27659879128138226
2024-12-30,Copilot,0.0
2025-01-06,Copilot,0.17223061621189117
2025-02-10,Gemini,0.25710374116897583
2025-06-09,Gemini,-0.9545446634292603
2025-07-21,ChatGPT,0.9048872590065002
2025-08-04,ChatGPT,0.0
2025-08-11,ChatGPT,-0.3053793636235324
2025-08-18,ChatGPT,-0.3360019256360829
2025-08-25,ChatGPT,-0.13457067116447116
2025-09-01,ChatGPT,-0.5094668237786544
2025-09-08,ChatGPT,-0.31825072318315506
2025-09-15,ChatGPT,0.09836094975471496
2025-09-22,ChatGPT,0.0
2025-09-29,ChatGPT,-0.03474956750869751
2025-10-06,ChatGPT,0.007103264331817627
2025-10-13,ChatGPT,0.1716652810573578
2025-10-20,ChatGPT,-0.2474607527256012
2025-10-27,ChatGPT,-0.6077767213185629
2025-11-03,ChatGPT,-0.3184767961502075
2025-11-10,ChatGPT,0.0
2025-11-17,ChatGPT,0.43981504440307617
2025-11-17,Gemini,-0.19433079565328265
2025-11-24,ChatGPT,-0.8076102435588837
2025-11-24,Gemini,-0.2297370861738156
2025-12-01,ChatGPT,-0.42170093456904095
2025-12-01,Gemini,-0.22179561853408813
2025-12-08,ChatGPT,0.014020293951034546
2025-12-08,Gemini,-0.18184161186218262
2025-12-15,Gemini,-0.48191121220588684
2025-12-22,Gemini,0.031702667474746704
2025-12-29,Gemini,0.0
2026-01-05,ChatGPT,-0.16838496923446655
2026-01-12,ChatGPT,-0.3124016722043355
2026-01-12,Gemini,0.9775176644325256
2026-01-19,ChatGPT,0.9267865419387817
2026-01-19,Copilot,-0.6436420679092407
2026-02-02,Gemini,-0.579592227935791
2026-02-09,ChatGPT,-0.6107314825057983
2026-03-02,ChatGPT,0.955190896987915
2026-03-23,ChatGPT,0.0
2026-04-13,Copilot,-0.2590641611152225
2026-04-20,ChatGPT,-0.5006179213523865
2026-04-20,Copilot,-0.2999084234237671
2026-04-27,Copilot,-0.6085211383669
2026-05-04,Copilot,-0.4727253251605564
2026-05-11,Copilot,-0.6518660130954924
2026-05-18,Copilot,-0.3757763453151869
2026-05-25,Copilot,-0.3598017150705511
2026-06-01,Copilot,0.20442638578622238
2026-06-08,ChatGPT,0.7320855259895325
2026-06-08,Copilot,-0.49939033057954574
2026-06-15,ChatGPT,0.35758739709854126
2026-06-15,Copilot,-0.6282263568469456
2026-06-22,Copilot,-0.17809642851352692
2026-06-29,Copilot,-0.5270238717397054
